Comment,Designator,Footprint,LCSC,Quantity
Conn_01x03_Socket,J5,PinHeader_1x03_P2.54mm_Vertical,,1
5k1,R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,1
470µF,C6,CP_Radial_D5.0mm_P2.50mm,,1
Screw_Terminal_01x02,J3,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",,1
5k1,R2,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,1
1N4007,D5,D_DO-41_SOD81_P2.54mm_Vertical_KathodeUp,,1
10µF,C2,CP_Radial_D6.3mm_P2.50mm,,1
DM-OLED096-636,U2,DM-OLED096-636,,1
4k7,R5,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,1
~,J2,USB-C_vert,,1
Conn_01x02_Socket,J1,PinHeader_1x02_P2.54mm_Vertical,,1
Conn_01x04_Socket,J6,PinSocket_1x04_P2.54mm_Vertical,,1
1N5817,D1,D_DO-41_SOD81_P5.08mm_Vertical_KathodeUp,,1
100nF,C4,C_Disc_D4.7mm_W2.5mm_P5.00mm,,1
Conn_01x05_Socket,J7,PinSocket_1x05_P2.54mm_Vertical,,1
100nF,C5,C_Disc_D4.7mm_W2.5mm_P5.00mm,,1
SMA,J8,SMA_Amphenol_901-143_Horizontal,,1
470µF,C3,CP_Radial_D5.0mm_P2.50mm,,1
E22-400M33S,U3,E22-400M33S,,1
Conn_01x04_Socket,J4,PinHeader_1x04_P2.54mm_Vertical,,1
ESP32-DevKitC V4,U1,ESP32-DevKitC,,1
100nF,C7,C_Disc_D4.7mm_W2.5mm_P5.00mm,,1
100nF,C1,C_Disc_D4.7mm_W2.5mm_P5.00mm,,1
2A,F1,R_Axial_DIN0411_L9.9mm_D3.6mm_P5.08mm_Vertical,,1
100nF,C8,C_Disc_D4.7mm_W2.5mm_P5.00mm,,1
Conn_01x02_Socket,J10,PinHeader_1x02_P2.54mm_Vertical,,1
SW_Push,SW1,SW_PUSH_6mm,,1
LESD5D5.0CT1G,D3,D_SOD-523,,1
Conn_01x02_Socket,J9,PinHeader_1x02_P2.54mm_Vertical,,1
1N5908,D4,D_DO-201_P12.70mm_Horizontal,,1
HW-613,U4,HW-613,,1
Jumper_2_Small_Bridged,JP1,TestPoint_2Pads_Pitch2.54mm_Drill0.8mm,,1
5k1,R4,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,1
0R,R8,R_0805_2012Metric,,1
Conn_01x02_Socket,J12,PinHeader_1x02_P2.54mm_Horizontal,,1
10k,R7,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,1
1N5817,D2,D_DO-41_SOD81_P7.62mm_Horizontal,,1
Jumper_2_Small_Bridged,JP2,TestPoint_2Pads_Pitch2.54mm_Drill0.8mm,,1
Conn_01x04_Socket,J11,PinSocket_1x04_P2.54mm_Vertical,,1
10k,R6,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,1
5k1,R3,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,1
