Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_Disc_D4.7mm_W2.5mm_P5.00mm,116.84,-114.26,-90.0,top
C2,10µF,CP_Radial_D6.3mm_P2.50mm,123.845,-87.63,180.0,top
C3,470µF,CP_Radial_D5.0mm_P2.50mm,165.1,-87.61,-90.0,top
C4,100nF,C_Disc_D4.7mm_W2.5mm_P5.00mm,170.18,-85.13,90.0,top
C5,100nF,C_Disc_D4.7mm_W2.5mm_P5.00mm,168.87,-143.51,0.0,top
C6,470µF,CP_Radial_D5.0mm_P2.50mm,167.005,-121.94,90.0,top
C7,100nF,C_Disc_D4.7mm_W2.5mm_P5.00mm,170.18,-76.16,-90.0,top
C8,100nF,C_Disc_D4.7mm_W2.5mm_P5.00mm,120.65,-74.89,-90.0,top
D1,1N5817,D_DO-41_SOD81_P5.08mm_Vertical_KathodeUp,166.37,-137.16,90.0,top
D2,1N5817,D_DO-41_SOD81_P7.62mm_Horizontal,166.37,-116.205,0.0,bottom
D3,LESD5D5.0CT1G,D_SOD-523,161.925,-123.19,180.0,top
D4,1N5908,D_DO-201_P12.70mm_Horizontal,166.37,-111.125,0.0,bottom
D5,1N4007,D_DO-41_SOD81_P2.54mm_Vertical_KathodeUp,166.37,-128.905,-90.0,top
F1,2A,R_Axial_DIN0411_L9.9mm_D3.6mm_P5.08mm_Vertical,174.96,-121.285,180.0,top
J1,Conn_01x02_Socket,PinHeader_1x02_P2.54mm_Vertical,113.03,-114.3,180.0,top
J10,Conn_01x02_Socket,PinHeader_1x02_P2.54mm_Vertical,117.475,-120.015,90.0,top
J11,Conn_01x04_Socket,PinSocket_1x04_P2.54mm_Vertical,177.19,-104.15,0.0,bottom
J12,Conn_01x02_Socket,PinHeader_1x02_P2.54mm_Horizontal,138.43,-135.96,270.0,bottom
J2,~,USB-C_vert,158.115,-130.175,0.0,top
J3,Screw_Terminal_01x02,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",174.625,-129.54,0.0,top
J4,Conn_01x04_Socket,PinHeader_1x04_P2.54mm_Vertical,116.83,-132.08,-90.0,top
J5,Conn_01x03_Socket,PinHeader_1x03_P2.54mm_Vertical,115.57,-90.17,0.0,top
J6,Conn_01x04_Socket,PinSocket_1x04_P2.54mm_Vertical,124.46,-73.66,180.0,top
J7,Conn_01x05_Socket,PinSocket_1x05_P2.54mm_Vertical,176.53,-78.74,180.0,top
J8,SMA,SMA_Amphenol_901-143_Horizontal,137.16,-51.435,-90.0,top
J9,Conn_01x02_Socket,PinHeader_1x02_P2.54mm_Vertical,154.94,-87.63,0.0,top
R1,5k1,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,116.84,-105.41,0.0,top
R2,5k1,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,120.65,-113.03,-90.0,top
R3,5k1,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,159.385,-144.145,180.0,bottom
R4,5k1,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,159.385,-140.97,180.0,bottom
R5,4k7,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,120.65,-97.79,-90.0,top
R6,10k,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,166.37,-106.68,180.0,bottom
R7,10k,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,166.37,-103.505,180.0,bottom
R8,0R,R_0805_2012Metric,137.16,-55.372,270.0,bottom
SW1,SW_Push,SW_PUSH_6mm,116.28,-126.075,0.0,top
U1,ESP32-DevKitC V4,ESP32-DevKitC,137.16,-119.38,0.0,top
U2,DM-OLED096-636,DM-OLED096-636,166.37,-104.14,0.0,top
U3,E22-400M33S,E22-400M33S,149.545,-70.59,90.0,top
U4,HW-613,HW-613,158.325,-120.255,180.0,bottom
