"Reference";"Value";"Datasheet";"Footprint";"Qty";"DNP"
"C1,C4,C5,C7,C8";"100nF";"~";"Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm";"5";""
"C2";"10µF";"~";"Capacitor_THT:CP_Radial_D6.3mm_P2.50mm";"1";""
"C3,C6";"470µF";"~";"Capacitor_THT:CP_Radial_D5.0mm_P2.50mm";"2";""
"D1,D2";"1N5817";"~";"Diode_THT:D_DO-41_SOD81_P7.62mm_Horizontal";"2";""
"D3";"LESD5D5.0CT1G";"https://www.littelfuse.com/~/media/electronics/datasheets/tvs_diode_arrays/littelfuse_tvs_diode_array_sd_c_datasheet.pdf.pdf";"Diode_SMD:D_SOD-523";"1";""
"J1,J3,J9";"Conn_01x02_Socket";"~";"-- verschiedene Werte --";"3";""
"J2";"~";"";"footprints_local:USB-C_vert";"1";""
"J4,J6,J7";"Conn_01x04_Socket";"~";"Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical";"3";""
"J5";"Conn_01x03_Socket";"~";"Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical";"1";""
"J8";"SMA";"~";"Connector_Coaxial:SMA_Amphenol_132134-14_Vertical";"1";""
"JP1,JP2";"Jumper_2_Small_Bridged";"~";"TestPoint:TestPoint_2Pads_Pitch2.54mm_Drill0.8mm";"2";""
"R1,R2,R3,R4";"5k1";"~";"Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";"4";""
"R5";"4k7";"~";"Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";"1";""
"R6,R7";"10k";"~";"Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";"2";""
"R8";"0R";"~";"Resistor_SMD:R_0805_2012Metric";"1";""
"SW1";"SW_Push";"~";"Button_Switch_THT:SW_PUSH_6mm";"1";""
"U1";"ESP32-DevKitC";"https://docs.espressif.com/projects/esp-idf/zh_CN/latest/esp32/hw-reference/esp32/get-started-devkitc.html";"footprints_local:ESP32-DevKitC";"1";""
"U2";"DM-OLED096-636";"";"footprints_local:DM-OLED096-636";"1";""
"U3";"E22-40033S";"";"footprints_local:E22-400M33S";"1";""
